,사이즈,총장,어깨너비,가슴단면,소매길이,성별,키,몸무게,후기
0,XS,58,44,50,19,여자,153cm,45kg,적당함
1,XS,58,44,50,19,여자,153cm,45kg,적당함
2,XS,58,44,50,19,여자,153cm,45kg,적당함
3,XS,58,44,50,19,여자,153cm,45kg,적당함
4,XS,58,44,50,19,여자,163cm,50kg,적당함
5,XS,58,44,50,19,여자,163cm,50kg,적당함
6,XS,58,44,50,19,여자,163cm,50kg,적당함
7,XS,58,44,50,19,여자,163cm,50kg,적당함
8,S,67,48,52,22,여자,158cm,55kg,적당함
9,S,67,48,52,22,여자,158cm,55kg,적당함
10,S,67,48,52,22,여자,158cm,55kg,적당함
11,S,67,48,52,22,여자,158cm,55kg,적당함
12,S,67,48,52,22,여자,155cm,45kg,큼
13,S,67,48,52,22,여자,155cm,45kg,큼
14,S,67,48,52,22,여자,155cm,45kg,큼
15,S,67,48,52,22,여자,155cm,45kg,큼
16,S,67,48,52,22,여자,167cm,62kg,적당함
17,S,67,48,52,22,여자,167cm,62kg,적당함
18,S,67,48,52,22,여자,167cm,62kg,적당함
19,S,67,48,52,22,여자,167cm,62kg,적당함
20,S,67,48,52,22,여자,174cm,59kg,적당함
21,S,67,48,52,22,여자,174cm,59kg,적당함
22,S,67,48,52,22,여자,174cm,59kg,적당함
23,S,67,48,52,22,여자,174cm,59kg,적당함
24,S,67,48,52,22,여자,162cm,45kg,적당함
25,S,67,48,52,22,여자,162cm,45kg,적당함
26,S,67,48,52,22,여자,162cm,45kg,적당함
27,S,67,48,52,22,여자,162cm,45kg,적당함
28,S,67,48,52,22,여자,170cm,55kg,적당함
29,S,67,48,52,22,여자,170cm,55kg,적당함
30,S,67,48,52,22,여자,170cm,55kg,적당함
31,S,67,48,52,22,여자,170cm,55kg,적당함
32,S,67,48,52,22,여자,160cm,60kg,적당함
33,S,67,48,52,22,여자,160cm,60kg,적당함
34,S,67,48,52,22,여자,160cm,60kg,적당함
35,S,67,48,52,22,여자,160cm,60kg,적당함
36,S,67,48,52,22,여자,163cm,50kg,적당함
37,S,67,48,52,22,여자,163cm,50kg,적당함
38,S,67,48,52,22,여자,163cm,50kg,적당함
39,S,67,48,52,22,여자,163cm,50kg,적당함
40,S,67,48,52,22,여자,155cm,38kg,적당함
41,S,67,48,52,22,여자,155cm,38kg,적당함
42,S,67,48,52,22,여자,155cm,38kg,적당함
43,S,67,48,52,22,여자,155cm,38kg,적당함
44,S,67,48,52,22,여자,165cm,55kg,적당함
45,S,67,48,52,22,여자,165cm,55kg,적당함
46,S,67,48,52,22,여자,165cm,55kg,적당함
47,S,67,48,52,22,여자,165cm,55kg,적당함
48,S,67,48,52,22,여자,166cm,52kg,적당함
49,S,67,48,52,22,여자,166cm,52kg,적당함
50,S,67,48,52,22,여자,166cm,52kg,적당함
51,S,67,48,52,22,여자,166cm,52kg,적당함
52,S,67,48,52,22,여자,166cm,53kg,적당함
53,S,67,48,52,22,여자,166cm,53kg,적당함
54,S,67,48,52,22,여자,166cm,53kg,적당함
55,S,67,48,52,22,여자,166cm,53kg,적당함
